fusionrest.py - 2024-04-03 13:57:17,515 - INFO - This log message is from DragonFlyWellPlateAutomation.RestAPI.fusionrest
xyzstage.py - 2024-04-03 13:57:17,516 - INFO - This log message is from DragonFlyWellPlateAutomation.devices.xyzstage.py
micrscope.py - 2024-04-03 13:57:17,516 - INFO - This log message is from DragonFlyWellPlateAutomation.devices.micrscope.py
protocol.py - 2024-04-03 13:57:17,516 - INFO - This log message is from DragonFlyWellPlateAutomation.devices.protocol.py
micrscope.py - 2024-04-03 13:57:17,516 - INFO - Current Z: 487.42
protocol.py - 2024-04-03 13:57:17,539 - INFO - Autofocus begins for well: 1-1
protocol.py - 2024-04-03 13:57:17,539 - INFO - Z stack begins for well: 1-1
protocol.py - 2024-04-03 13:57:17,539 - INFO - Total height to travel 50.0 mm. Please determine from current position that this is safe
micrscope.py - 2024-04-03 13:57:17,539 - INFO - Current Z: 487.42
micrscope.py - 2024-04-03 13:57:17,539 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,539 - INFO - Current Z: 487.42
micrscope.py - 2024-04-03 13:57:17,539 - INFO - Updated referencezposition from 487.42 to 492.42
micrscope.py - 2024-04-03 13:57:17,539 - INFO - Current Z: 492.42
micrscope.py - 2024-04-03 13:57:17,542 - INFO - Current Z: 492.42
micrscope.py - 2024-04-03 13:57:17,542 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,542 - INFO - Current Z: 492.42
micrscope.py - 2024-04-03 13:57:17,542 - INFO - Updated referencezposition from 492.42 to 497.42
micrscope.py - 2024-04-03 13:57:17,542 - INFO - Current Z: 497.42
micrscope.py - 2024-04-03 13:57:17,544 - INFO - Current Z: 497.42
micrscope.py - 2024-04-03 13:57:17,544 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,544 - INFO - Current Z: 497.42
micrscope.py - 2024-04-03 13:57:17,544 - INFO - Updated referencezposition from 497.42 to 502.42
micrscope.py - 2024-04-03 13:57:17,544 - INFO - Current Z: 502.42
micrscope.py - 2024-04-03 13:57:17,547 - INFO - Current Z: 502.42
micrscope.py - 2024-04-03 13:57:17,547 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,547 - INFO - Current Z: 502.42
micrscope.py - 2024-04-03 13:57:17,547 - INFO - Updated referencezposition from 502.42 to 507.42
micrscope.py - 2024-04-03 13:57:17,547 - INFO - Current Z: 507.42
micrscope.py - 2024-04-03 13:57:17,549 - INFO - Current Z: 507.42
micrscope.py - 2024-04-03 13:57:17,549 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,549 - INFO - Current Z: 507.42
micrscope.py - 2024-04-03 13:57:17,549 - INFO - Updated referencezposition from 507.42 to 512.42
micrscope.py - 2024-04-03 13:57:17,549 - INFO - Current Z: 512.42
micrscope.py - 2024-04-03 13:57:17,552 - INFO - Current Z: 512.42
micrscope.py - 2024-04-03 13:57:17,552 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,552 - INFO - Current Z: 512.42
micrscope.py - 2024-04-03 13:57:17,552 - INFO - Updated referencezposition from 512.42 to 517.42
micrscope.py - 2024-04-03 13:57:17,552 - INFO - Current Z: 517.42
micrscope.py - 2024-04-03 13:57:17,554 - INFO - Current Z: 517.42
micrscope.py - 2024-04-03 13:57:17,554 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,554 - INFO - Current Z: 517.42
micrscope.py - 2024-04-03 13:57:17,554 - INFO - Updated referencezposition from 517.42 to 522.42
micrscope.py - 2024-04-03 13:57:17,554 - INFO - Current Z: 522.42
micrscope.py - 2024-04-03 13:57:17,557 - INFO - Current Z: 522.42
micrscope.py - 2024-04-03 13:57:17,557 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,557 - INFO - Current Z: 522.42
micrscope.py - 2024-04-03 13:57:17,557 - INFO - Updated referencezposition from 522.42 to 527.42
micrscope.py - 2024-04-03 13:57:17,557 - INFO - Current Z: 527.42
micrscope.py - 2024-04-03 13:57:17,559 - INFO - Current Z: 527.42
micrscope.py - 2024-04-03 13:57:17,559 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,559 - INFO - Current Z: 527.42
