,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Img_ID_x,Autofocus_score,Z plane,Well coords,Acquisition number,Metrics,Value,Variables,Frequency,Total power,Estimated f,Elapsed time,x,y,Type prediction,Type homography prediction,Type grid prediction,Wellname,time_x,complex_img,Img_ID_y,quality,time_y,Variance,fmean,fmeanbin,fSTD,Spectral_moments
0,0,0,0.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.28.39.ims,1.0,7016.84,2-22,0.0,Brenner,1382913204.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.28.39,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,656.4303314072821,5124.015765128034,5124.015765128034,1255.0052252385606,0.5708989265031266
1,1,1,1.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.28.01.ims,1.0,7021.76,2-22,1.0,Brenner,1390431669.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.28.01,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,657.1580363706727,5104.205051545622,5104.205051545622,1268.154589313163,0.5642742645745976
2,2,2,2.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.28.13.ims,1.0,7026.7,2-22,2.0,Brenner,1387021398.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.28.13,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,658.2912642141891,5135.52878072171,5135.52878072171,1262.0181212339637,0.571637205741296
3,3,3,3.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.28.52.ims,1.0,7031.62,2-22,3.0,Brenner,1380994794.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.28.52,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,655.2454934537964,5094.724355069348,5094.724355069348,1253.5921627901523,0.5650275080766753
4,4,4,4.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.29.04.ims,1.0,7036.6,2-22,4.0,Brenner,1383844575.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.29.04,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,656.8547630851461,5136.05714089498,5136.05714089498,1255.3880501355145,0.5736758481690375
5,5,5,5.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.29.17.ims,1.0,7041.56,2-22,5.0,Brenner,1382357855.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.29.17,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,655.1439241286716,5079.54713762512,5079.54713762512,1257.079019339826,0.5623418764365331
6,6,6,6.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.28.26.ims,1.0,7046.54,2-22,6.0,Brenner,1389338765.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.28.26,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,657.7123367227032,5134.554914181372,5134.554914181372,1278.353738115598,0.5712915452251243
7,7,7,7.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.27.47.ims,1.0,7051.54,2-22,7.0,Brenner,1389099168.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.27.47,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,659.0147876131215,5181.309288586274,5181.309288586274,1267.812753668138,0.5810452780172607
8,8,8,8.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.30.46.ims,1.0,7056.54,2-22,8.0,Brenner,1379604314.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.30.46,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,654.1704356241913,5086.320207881399,5086.320207881399,1282.8211045603955,0.564374590808613
9,9,9,9.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.29.56.ims,1.0,7061.42,2-22,9.0,Brenner,1382150970.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.29.56,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,654.4739918476188,5103.366863479932,5103.366863479932,1251.678139264687,0.5678162004516231
10,10,10,10.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.30.21.ims,1.0,7066.42,2-22,10.0,Brenner,1377762931.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.30.21,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,652.7485929343367,5090.375791815736,5090.375791815736,1272.2981126860204,0.5662723378027692
11,11,11,11.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.30.08.ims,1.0,7071.36,2-22,11.0,Brenner,1378602615.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.30.08,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,653.0409135165974,5063.756384763661,5063.756384763661,1263.531469231292,0.5602248142221364
12,12,12,12.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.29.43.ims,1.0,7076.38,2-22,12.0,Brenner,1379727605.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.29.43,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,653.3130380958319,5119.7445730322015,5119.7445730322015,1272.258324379906,0.572043453874775
13,13,13,13.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.29.30.ims,1.0,7081.36,2-22,13.0,Brenner,1380439266.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.29.30,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,654.6931286434992,5131.09451486724,5131.09451486724,1270.4158459510104,0.5731670840955468
14,14,14,14.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.30.34.ims,1.0,7086.36,2-22,14.0,Brenner,1380756519.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.30.34,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,652.6611078614311,5101.568840003674,5101.568840003674,1269.1170123536092,0.5682379766773654
15,15,15,15.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.32.52.ims,1.0,7006.74,2-22,0.0,Brenner,1750855234.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.32.52,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,836.707526491342,6329.216754086672,6329.216754086672,1151.8515734018806,0.6811454108064782
16,16,16,16.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.31.35.ims,1.0,7001.72,2-22,1.0,Brenner,1412040170.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.31.35,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,750.2452922850626,5367.330897300709,5367.330897300709,1475.977767609224,0.5986627534387423
17,17,17,17.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.32.26.ims,2.0,6996.64,2-22,2.0,Brenner,2071806317.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.32.26,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,1145.6837823550889,7369.571502890653,7369.571502890653,1085.3058428847469,0.7776843702566214
18,18,18,18.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.31.22.ims,2.0,6991.6,2-22,3.0,Brenner,1391046472.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.31.22,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,685.1159246689058,5211.457129551633,5211.457129551633,1265.8893884832576,0.5801437202923527
19,19,19,19.0,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.32.01.ims,2.0,6986.6,2-22,4.0,Brenner,1524251666.0,,,,0.0,417.534456253052,47.0909,28.71174,1.0,Levenberg-Marquardt,Linear spacing,2-22,18.32.01,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,H2B_monastrol_500um_day1_2024-04-15_Hoechst_GFP_18.34.34_F0.ims,2,18.34.34,789.1630809067508,5773.037757382424,5773.037757382424,1371.5722117134474,0.6337331475690378
